[2025-06-21 03:04:44,464] INFO: Current version 2.0.54 does not match expected version stable.
[2025-06-21 03:04:44,464] INFO: Updating Factorio server files...
[2025-06-21 03:04:44,464] INFO: Backing up Factorio server files to /tmp/factorio_backup/
[2025-06-21 03:04:47,700] INFO: Backup completed successfully to /tmp/factorio_backup/
[2025-06-21 03:04:47,700] INFO: Rmoving old Factorio directory
[2025-06-21 03:10:34,570] INFO: Manager initialized successfully.
[2025-06-21 03:10:34,570] INFO: Factorio server is not running, starting...
[2025-06-21 03:10:34,571] INFO: Executing command: runuser -u factorio -g factorio -- /opt/factorio/bin/x64/factorio --create /factorio/saves/default_save.zip --map-gen-settings /factorio/config/map-gen-settings.json --map-settings /factorio/config/map-settings.json
[2025-06-21 03:10:36,633] INFO: Factorio Created Save with name: default_save
[2025-06-21 03:10:36,634] INFO: Running Factorio server on port 34197 with RCON port 27015
[2025-06-21 03:10:36,634] INFO: Executing command: runuser -u factorio -g factorio -- /opt/factorio/bin/x64/factorio --port 34197 --rcon-port 27015 --server-settings /factorio/config/server-settings.json --server-banlist /factorio/config/server-banlist.json --server-whitelist /factorio/config/server-whitelist.json --use-server-whitelist --server-adminlist /factorio/config/server-adminlist.json --rcon-password 408110T67OC37Z9 --server-id /factorio/config/server-id.json --mod-directory /factorio/mods --console-log-location /factorio --start-server /factorio/saves/default_save.zip
[2025-06-21 03:10:36,635] INFO: Factorio server started with PID 3714
[2025-06-21 03:11:36,634] INFO: Checking for Factorio server updates...
[2025-06-21 03:11:37,450] INFO: Checking if players are online...
[2025-06-21 03:11:37,450] INFO: Stopping Factorio server to update files...
[2025-06-21 03:11:37,451] INFO: Stopping Factorio server with PID 3714
[2025-06-21 03:12:37,449] INFO: Finished waiting for Factorio server to stop.
[2025-06-21 03:12:37,449] INFO: Current version 2.0.54 does not match expected version stable.
[2025-06-21 03:12:37,450] INFO: Updating Factorio server files...
[2025-06-21 03:12:37,450] INFO: Backing up Factorio server files to /tmp/factorio_backup/
[2025-06-21 03:12:40,473] INFO: Backup completed successfully to /tmp/factorio_backup/
[2025-06-21 03:12:40,474] INFO: Removing old Factorio directory
[2025-06-21 03:13:16,672] INFO: Manager initialized successfully.
[2025-06-21 03:13:16,673] INFO: Factorio server is not running, starting...
[2025-06-21 03:13:16,674] INFO: Executing command: runuser -u factorio -g factorio -- /opt/factorio/bin/x64/factorio --create /factorio/saves/default_save.zip --map-gen-settings /factorio/config/map-gen-settings.json --map-settings /factorio/config/map-settings.json
[2025-06-21 03:13:18,666] INFO: Factorio Created Save with name: default_save
[2025-06-21 03:13:18,666] INFO: Running Factorio server on port 34197 with RCON port 27015
